saleprice,horsepower,age,enghours,diesel,fwd,manual,johndeere,cab,spring,summer,winter
6100,53,27,550,1,0,1,0,0,0,1,0
6000,52,30,5125,1,0,1,0,0,0,0,1
6000,20,15,578,0,0,0,0,0,0,0,1
5600,122,33,5521,1,0,1,0,1,0,1,0
5600,27,29,938,0,0,0,0,0,0,0,0
5500,65,32,877,1,0,1,0,0,0,0,0
5500,33,33,1681,1,0,1,1,1,0,0,0
5400,20,15,3939,0,1,1,1,0,0,0,1
5300,38,15,1493,1,0,0,0,0,0,1,0
5250,90,31,6859,1,0,1,0,1,1,0,0
5100,86,33,9479,1,0,1,0,1,1,0,0
5100,41,27,609,0,0,1,0,0,0,1,0
5000,80,5,300,1,1,1,0,1,0,0,1
5000,48,5,286,1,1,1,0,0,1,0,0
5000,32,23,4028,1,1,1,0,0,1,0,0
4800,45,11,2860,0,0,0,0,0,0,0,0
4700,122,33,5188,1,0,1,0,1,0,0,1
4700,26,13,1257,0,0,0,1,0,0,0,0
4600,16,27,1310,0,0,0,1,0,0,0,1
4500,60,23,4617,0,0,0,0,0,0,0,0
4500,27,20,2376,1,0,1,0,0,0,0,0
4250,45,26,3084,1,0,1,0,0,0,1,0
4250,38,17,713,1,0,1,0,0,0,0,0
4200,30,5,757,1,0,1,0,0,0,0,1
4100,64,31,3750,1,0,1,0,0,0,0,1
4000,55,21,8283,1,0,1,0,0,0,0,0
4000,50,33,9872,0,0,1,1,0,0,0,0
3800,51,21,8332,1,0,1,0,0,0,0,0
3800,20,20,2227,1,1,0,0,0,1,0,0
3750,70,32,10734,0,0,0,1,0,0,1,0
3500,65,30,4078,1,0,1,0,0,0,0,1
3500,56,27,7200,1,0,1,0,0,0,0,0
3500,45,29,2319,1,0,1,0,0,0,0,1
3300,28,30,3530,1,0,0,1,0,0,0,0
3000,63,31,9543,1,0,1,0,0,0,0,1
3000,61,26,6483,1,0,1,0,0,0,0,0
3000,36,28,2277,0,1,1,0,0,0,0,0
3000,22,28,10611,0,0,0,1,0,1,0,0
3000,19,10,1737,0,0,0,0,0,1,0,0
2800,22,33,1228,1,0,1,1,0,0,0,0
2600,47,14,1350,1,0,1,0,0,1,0,0
2250,24,28,1390,0,0,0,0,0,0,1,0
1750,55,18,5325,1,0,1,0,0,0,1,0
1650,25,33,1140,0,0,0,0,0,0,0,0
1600,18,25,3351,0,0,0,0,0,1,0,0
1500,32,19,6833,1,0,1,0,0,0,0,0
