"default","bmaxrate","amount","close","AA","A","B","C","D","bankcardutil"
0,0.29,5000,0,0,0,0,0,0,0.93
0,0.14,9000,1,0,0,1,0,0,0.54
0,0.24,1500,0,0,0,0,0,0,0.99
0,0.11,4500,1,1,0,0,0,0,0.97
0,0.2,1000,1,0,0,0,0,1,0.9
0,0.28,6000,0,0,0,0,0,1,0
0,0.17,1850,0,0,0,0,0,1,0.68
0,0.17,3000,0,0,0,0,0,1,0.88
0,0.09,6001,0,1,0,0,0,0,0.22
0,0.12,5900,1,0,1,0,0,0,0.31
0,0.24,3000,0,0,0,0,0,0,1.62
0,0.18,2500,0,0,0,0,0,1,0.87
1,0.12,2500,0,0,0,1,0,0,0
0,0.24,1025,1,0,0,0,0,0,0.59
0,0.08,2000,0,1,0,0,0,0,0.23
0,0.15,15000,0,0,0,1,0,0,0.65
0,0.1,7500,0,1,0,0,0,0,0.23
0,0.09,2000,1,1,0,0,0,0,0.01
0,0.28,2000,1,0,0,0,0,0,0.97
0,0.29,3001,0,0,0,0,0,0,0
0,0.18,9995,0,0,0,0,1,0,0.53
0,0.29,2500,1,0,0,0,0,0,1.01
0,0.23,10000,0,0,0,0,1,0,0.88
0,0.1,3500,1,1,0,0,0,0,0.21
0,0.1,4000,0,0,1,0,0,0,0.16
0,0.25,3000,0,0,0,0,0,1,0.71
0,0.29,2550,0,0,0,0,0,1,0.63
0,0.29,3500,1,0,0,0,0,0,1
0,0.15,8000,0,0,0,1,0,0,0.12
0,0.15,1700,0,0,0,0,0,1,0.83
0,0.29,4500,1,0,0,0,0,0,0.6
0,0.29,3001,1,0,0,0,0,0,0
0,0.2,25000,1,0,0,0,1,0,0.19
0,0.21,10000,0,0,0,0,0,1,0.21
0,0.23,1500,0,0,0,0,0,0,0.84
0,0.17,1000,0,0,0,0,0,1,0.67
0,0.2,5300,0,0,0,0,0,1,1.26
1,0.27,2000,1,0,0,0,0,0,0
0,0.1,7000,0,1,0,0,0,0,0.07
0,0.14,7000,0,0,0,0,1,0,0.55
0,0.29,4500,1,0,0,0,0,0,1.52
0,0.17,3000,0,0,0,0,0,1,0.91
0,0.1,7500,1,0,0,0,0,1,1.02
0,0.25,2500,0,0,0,0,0,1,1.01
0,0.17,5600,0,0,0,0,1,0,0.84
0,0.07,1000,1,0,0,0,0,0,0
0,0.22,6001,0,0,0,0,1,0,0.98
0,0.23,2000,0,0,0,0,0,0,1.13
0,0.08,6001,0,1,0,0,0,0,0.04
0,0.2,5000,1,0,0,0,1,0,0.95
0,0.06,9600,1,0,0,0,1,0,0.16
0,0.17,1500,0,0,0,0,1,0,0.67
0,0.17,1200,0,0,0,0,0,0,1.36
0,0.17,1200,0,0,0,0,0,1,0.94
0,0.19,3000,1,0,0,0,0,1,0
1,0.29,2550,1,0,0,0,0,1,1.51
0,0.15,2000,1,0,0,0,0,1,0.49
0,0.23,3500,0,0,0,0,0,0,0.92
0,0.29,2500,0,0,0,0,0,0,0
0,0.13,9000,0,0,1,0,0,0,0
1,0.29,2000,1,0,0,0,0,0,1.08
0,0.19,7400,1,0,0,0,1,0,0.87
0,0.17,4500,0,0,0,0,0,1,0.05
0,0.2,5000,0,0,0,0,0,1,0.22
0,0.2,7500,0,0,0,0,1,0,0.38
0,0.15,1500,1,1,0,0,0,0,0.64
0,0.13,6000,0,0,0,0,1,0,0.92
0,0.24,2500,1,0,0,0,0,1,0.96
0,0.23,8100,0,0,0,0,1,0,0.93
0,0.13,6000,0,0,0,1,0,0,0
0,0.2,3000,1,0,0,0,0,1,0
0,0.25,7000,0,0,0,0,0,1,0.62
0,0.18,2550,1,0,0,0,0,0,0.99
0,0.16,9000,0,0,0,1,0,0,0.05
0,0.16,5000,0,0,0,0,1,0,0.89
0,0.09,5400,0,1,0,0,0,0,0.18
0,0.19,3725,0,0,0,0,0,1,0.78
1,0.2,20000,1,1,0,0,0,0,0.05
0,0.17,3500,0,0,0,0,0,0,0.98
0,0.16,9800,0,0,0,0,1,0,0
0,0.29,4669,1,0,0,0,0,0,0
0,0.09,1025,1,0,0,0,0,1,0.76
0,0.09,6001,0,1,0,0,0,0,0.26
0,0.1,2000,1,0,0,1,0,0,0
0,0.11,8000,0,0,0,1,0,0,0.62
0,0.16,2000,1,0,0,0,1,0,0
0,0.29,3950,0,0,0,0,0,0,0.78
0,0.1,2000,0,0,0,1,0,0,0
0,0.28,5000,0,0,0,0,0,0,0.87
0,0.15,7700,0,0,0,0,1,0,0.38
0,0.15,20000,0,0,1,0,0,0,0.37
0,0.24,3000,0,0,0,0,0,0,0
0,0.18,7500,0,0,0,1,0,0,0.9
0,0.29,5000,0,0,0,0,0,0,0.72
0,0.11,2500,1,0,0,1,0,0,0
0,0.1,4000,0,0,1,0,0,0,0.88
1,0.22,25000,0,0,0,0,1,0,0.73
0,0.22,2500,1,0,0,0,0,1,0.74
0,0.29,2700,0,0,0,0,0,0,0
0,0.1,6000,1,0,1,0,0,0,0.75
0,0.15,2000,1,0,0,0,0,0,0
0,0.09,2550,0,0,1,0,0,0,0.05
0,0.16,9000,0,0,0,0,1,0,0.97
0,0.18,2500,0,0,0,0,0,1,0.82
0,0.13,8000,0,0,1,0,0,0,0.57
0,0.1,6500,0,0,1,0,0,0,0.34
0,0.16,8500,0,0,0,0,1,0,0.56
0,0.17,9500,0,1,0,0,0,0,0.95
0,0.29,5000,1,0,0,0,0,0,0
0,0.18,3000,0,0,0,1,0,0,0.79
0,0.2,2500,0,0,0,0,0,0,0.8
0,0.23,1000,0,0,0,0,0,0,0.92
0,0.13,2500,0,0,1,0,0,0,0.57
0,0.23,5000,0,0,0,0,0,1,0
0,0.29,2100,0,0,0,0,0,0,0
0,0.15,8000,0,0,0,1,0,0,0.64
0,0.28,5500,0,0,0,0,0,1,0.35
0,0.11,6000,0,1,0,0,0,0,0.4
0,0.22,7000,0,1,0,0,0,0,0.07
0,0.27,1000,1,0,0,0,0,0,0
0,0.09,2500,0,0,1,0,0,0,0.04
0,0.23,4900,0,0,0,0,0,1,1
0,0.1,5000,0,0,1,0,0,0,0
0,0.29,2500,0,0,0,0,0,1,0.83
0,0.23,15000,1,0,0,1,0,0,0.76
0,0.29,7500,1,0,0,0,0,1,0.09
0,0.15,1000,1,0,0,0,1,0,0.73
0,0.08,1000,0,1,0,0,0,0,0.01
0,0.29,2200,0,0,0,0,0,0,1.06
1,0.29,1550,0,0,0,0,0,0,0
0,0.1,9990,0,1,0,0,0,0,0.05
0,0.29,4000,1,0,0,0,0,0,0
1,0.29,3000,1,0,0,0,0,1,0.53
1,0.29,2500,1,0,0,0,0,0,0
0,0.16,4200,1,0,0,0,1,0,0.83
0,0.12,10000,0,0,1,0,0,0,0.85
0,0.08,1000,0,1,0,0,0,0,0.31
0,0.1,1500,1,0,1,0,0,0,0.79
1,0.16,6500,1,0,1,0,0,0,0.93
0,0.16,8000,0,0,0,0,1,0,0.8
0,0.19,8500,0,0,0,0,1,0,0.79
0,0.06,1000,0,1,0,0,0,0,0.04
1,0.29,3000,1,0,0,0,0,0,0.67
0,0.1,3900,0,0,1,0,0,0,0.53
0,0.29,2600,0,0,0,0,0,0,0.98
0,0.16,3500,0,0,0,0,1,0,0.83
1,0.29,1000,0,0,0,0,0,0,0.95
0,0.23,5300,0,0,0,0,0,1,0.45
0,0.29,3000,1,0,0,0,0,0,0
0,0.07,1500,0,1,0,0,0,0,0.01
0,0.29,2875,1,0,0,0,0,0,1
0,0.25,10000,1,0,0,0,0,1,0.71
0,0.17,2500,1,0,0,0,1,0,0.59
0,0.29,3000,0,0,0,0,0,0,0.91
0,0.2,2700,1,0,0,0,0,1,0.87
0,0.15,4500,1,0,0,0,1,0,0.49
0,0.12,3000,0,0,0,1,0,0,0.56
0,0.15,2500,0,0,0,0,1,0,0.56
0,0.13,8500,0,1,0,0,0,0,0.21
0,0.15,9000,0,0,0,0,1,0,0.97
1,0.24,2600,0,0,0,0,0,0,0.96
0,0.27,3000,1,0,0,0,0,1,0.79
0,0.05,1000,0,0,0,0,0,1,0.42
0,0.11,6500,0,0,1,0,0,0,0.34
0,0.07,1000,1,1,0,0,0,0,0.08
0,0.25,2000,0,0,0,0,0,1,0
0,0.19,2100,0,0,0,0,0,1,0.86
1,0.19,12500,0,1,0,0,0,0,0.02
0,0.29,3000,1,0,0,0,0,0,0.98
0,0.2,5000,0,0,0,0,1,0,0.61
0,0.29,3000,0,0,0,0,0,0,0.98
0,0.23,3000,1,0,0,0,0,1,0.7
0,0.24,1000,1,0,0,0,0,0,0
0,0.17,3000,1,0,0,0,1,0,0.59
0,0.17,8000,0,0,0,0,1,0,0.8
0,0.23,8500,1,0,0,0,0,0,1.13
0,0.18,5000,1,0,0,0,0,1,0
1,0.23,2000,0,0,0,0,0,0,0.9
0,0.18,1600,0,0,0,0,0,1,0.94
0,0.14,5000,0,0,0,1,0,0,0
0,0.2,1000,0,0,0,0,0,0,1
0,0.17,6500,0,0,0,0,1,0,0.79
0,0.11,1000,0,0,0,0,0,1,0.98
0,0.15,1600,0,0,0,0,1,0,0.82
0,0.15,8500,0,0,0,1,0,0,0
1,0.29,3000,0,0,0,0,0,0,1.51
0,0.09,7000,0,1,0,0,0,0,0.17
0,0.1,2100,0,1,0,0,0,0,0
0,0.26,2000,1,0,0,0,0,0,0
0,0.29,3000,0,0,0,0,0,0,0.79
0,0.2,2850,0,0,0,0,1,0,0.7
0,0.25,2550,0,0,0,0,0,1,0.53
0,0.17,5233,0,0,0,1,0,0,0.38
0,0.26,5500,0,0,0,0,0,0,0.99
1,0.2,2700,1,0,0,0,0,1,0.8
0,0.2,13500,0,0,0,0,1,0,0.31
0,0.15,1200,1,0,0,0,0,0,0
0,0.22,6500,1,0,0,0,0,0,0.97
0,0.29,1200,1,0,0,0,0,0,1
0,0.27,3001,1,0,0,0,0,0,1.02
0,0.29,5000,1,0,0,0,0,0,0
0,0.05,1000,1,0,0,0,0,1,0.48
0,0.07,3000,0,0,0,0,1,0,0.87
0,0.17,10000,0,0,1,0,0,0,0.39
0,0.17,9000,0,0,0,0,1,0,0.94
0,0.29,5500,0,0,0,0,0,1,0.72
0,0.28,2000,0,0,0,0,0,0,0.77
0,0.19,6000,0,0,0,0,1,0,0.49
0,0.16,25000,0,0,1,0,0,0,0
0,0.29,3000,0,0,0,0,0,0,1.15
0,0.15,1200,0,0,0,0,0,1,0.9
0,0.2,5000,0,0,1,0,0,0,0.16
0,0.09,3030,0,1,0,0,0,0,0.04
0,0.16,6001,1,0,0,0,1,0,0.77
0,0.17,6500,1,0,0,0,0,1,0
0,0.28,3900,0,0,0,0,0,0,1.08
0,0.29,1750,1,0,0,0,0,0,0.98
0,0.16,9000,0,0,0,0,1,0,0.69
0,0.24,25000,1,0,0,0,1,0,0.46
0,0.24,11520,0,0,0,0,0,1,0.6
0,0.26,25000,1,0,0,0,0,1,0.38
0,0.14,4000,0,0,0,1,0,0,0.16
0,0.24,10000,0,0,1,0,0,0,0.54
0,0.09,2550,0,0,1,0,0,0,0.17
1,0.23,7800,1,0,0,0,1,0,1.03
0,0.15,2000,0,0,0,0,0,1,0.36
0,0.2,5000,0,0,0,0,0,1,0.45
0,0.29,3001,0,0,0,0,0,0,0.85
1,0.18,1230,0,0,0,0,1,0,0
0,0.09,2500,0,1,0,0,0,0,0.1
0,0.24,1550,0,0,0,0,0,0,1.09
0,0.14,1000,0,0,0,1,0,0,0
0,0.2,2018,0,0,0,0,0,0,0
0,0.29,3500,0,0,0,0,0,0,0.98
0,0.2,15000,0,0,0,0,1,0,0.84
0,0.23,5000,0,0,0,0,0,0,1
0,0.15,5000,0,0,0,0,1,0,0.83
0,0.19,13500,0,0,0,1,0,0,0.78
0,0.14,25000,0,1,0,0,0,0,0
0,0.18,4100,0,0,0,0,1,0,0.5
0,0.29,2550,0,0,0,0,0,0,1.7
0,0.16,5300,0,0,0,0,1,0,0.92
0,0.17,1000,1,0,0,0,0,1,0.14
0,0.28,1200,0,0,0,0,0,0,0.81
0,0.25,4800,0,0,0,0,0,0,0.85
0,0.14,9000,0,0,0,1,0,0,0.14
0,0.29,2550,0,0,0,0,0,0,1
0,0.2,3800,0,0,0,0,0,0,1
0,0.28,2500,1,0,0,0,0,0,1.04
0,0.28,5000,0,0,0,0,0,0,1.19
0,0.07,2000,1,1,0,0,0,0,0.07
1,0.26,5050,1,0,0,0,0,1,0
0,0.29,4000,1,0,0,0,0,0,0.98
0,0.24,6000,0,0,0,0,0,1,0.52
0,0.29,2550,1,0,0,0,0,1,0.75
0,0.17,9200,0,0,1,0,0,0,0.06
0,0.2,2000,1,0,0,0,0,1,0.78
0,0.16,7000,0,0,0,0,1,0,0.98
0,0.11,3000,0,0,0,1,0,0,0.27
0,0.18,5000,0,0,0,0,1,0,0.66
0,0.28,9900,0,0,0,0,0,1,0.33
0,0.13,9999,0,0,0,1,0,0,0.61
0,0.17,1700,0,0,0,0,0,0,0.8
0,0.23,6300,0,0,0,0,0,1,0.76
0,0.29,3500,0,0,0,0,0,0,1.24
0,0.17,3800,0,0,0,0,0,1,1.1
0,0.17,1500,0,0,0,0,0,1,0.92
0,0.15,10000,0,1,0,0,0,0,0.64
0,0.29,3005,1,0,0,0,0,0,0.76
0,0.26,2500,0,0,0,0,0,0,0.65
0,0.26,6000,1,0,0,0,0,0,1.06
0,0.29,7000,0,0,0,0,0,1,0.7
0,0.1,3000,0,1,0,0,0,0,0.05
0,0.15,8000,0,0,1,0,0,0,0.84
0,0.17,17000,0,0,1,0,0,0,0.7
0,0.25,25000,0,0,1,0,0,0,0.71
0,0.28,3200,0,0,0,0,0,0,0.99
0,0.15,4200,0,0,0,0,1,0,0.3
0,0.26,3600,0,0,0,0,0,0,0.53
0,0.14,2500,1,0,0,1,0,0,0.71
0,0.2,3000,1,0,0,0,0,1,0.07
0,0.2,2000,0,0,0,0,0,0,0.77
0,0.28,1500,1,0,0,0,0,0,1
0,0.15,25000,1,1,0,0,0,0,0.37
0,0.22,15000,0,0,0,0,1,0,0.94
0,0.23,6001,0,0,0,0,0,1,0.61
0,0.17,5000,0,0,0,0,1,0,0.17
0,0.15,8942,0,0,0,1,0,0,0
0,0.29,2500,0,0,0,0,0,0,0.96
0,0.29,3000,0,0,0,0,0,0,0.92
0,0.12,15000,0,1,0,0,0,0,0.09
0,0.1,4999,0,1,0,0,0,0,0.06
0,0.2,2000,1,0,0,0,0,1,0.88
0,0.12,1500,1,0,0,0,0,1,0.59
0,0.1,6500,0,0,1,0,0,0,0.67
0,0.25,7000,0,0,0,0,1,0,1.02
0,0.23,6000,0,0,0,0,1,0,0
0,0.09,2000,0,0,1,0,0,0,0.85
0,0.17,10000,0,0,0,0,1,0,0.76
0,0.29,4200,0,0,0,0,0,0,1
0,0.29,25000,0,0,0,0,1,0,0.34
0,0.11,14000,0,1,0,0,0,0,0.56
0,0.21,5000,0,0,0,0,0,1,0.97
0,0.2,12200,0,0,0,0,1,0,0.35
0,0.28,5000,0,0,0,0,0,1,0.81
0,0.17,1500,1,0,0,0,1,0,0.56
0,0.24,2550,0,0,0,0,0,0,0
0,0.2,2500,0,0,0,0,0,0,0.78
0,0.22,2000,0,0,0,0,0,0,0
0,0.22,5000,0,0,0,0,0,1,0.93
0,0.21,5000,0,0,0,0,0,1,0.95
0,0.16,10999,0,0,0,1,0,0,0.97
0,0.24,2500,1,0,0,0,0,1,0.83
0,0.19,25000,0,0,0,0,1,0,0.72
0,0.22,2500,1,0,0,0,0,0,1
0,0.15,7000,0,0,1,0,0,0,0.33
0,0.15,1500,0,0,0,0,1,0,0.8
0,0.11,6000,0,0,1,0,0,0,0
0,0.15,12000,0,0,0,1,0,0,0.94
0,0.09,3000,0,1,0,0,0,0,0.71
1,0.15,1250,0,0,0,0,1,0,0.74
0,0.29,1000,0,0,0,0,0,0,0.45
0,0.09,3500,0,1,0,0,0,0,0
0,0.29,25000,0,0,0,0,0,1,0.98
0,0.15,1000,0,0,0,0,0,1,0
0,0.21,4900,0,0,0,0,0,1,0
0,0.28,5000,0,0,0,0,0,0,0.96
0,0.2,8000,0,0,0,0,0,1,0.91
0,0.09,3000,0,0,1,0,0,0,0.13
0,0.24,9999,0,0,0,1,0,0,0.89
0,0.1,10000,0,0,1,0,0,0,0.12
0,0.28,5000,0,0,0,0,1,0,0.95
0,0.29,25000,0,0,1,0,0,0,0.61
0,0.2,9000,0,0,0,0,0,1,1.01
0,0.25,2500,0,0,0,0,0,0,0
0,0.17,2550,0,0,0,0,1,0,0.25
1,0.29,4000,1,0,0,0,0,1,0.94
0,0.07,2500,1,1,0,0,0,0,0
0,0.22,17500,0,1,0,0,0,0,0
0,0.2,6001,0,0,0,0,1,0,0.77
0,0.28,4750,1,0,0,0,0,0,0.14
0,0.13,5500,0,0,0,1,0,0,0.34
0,0.13,6000,1,0,1,0,0,0,0.22
0,0.07,1000,0,1,0,0,0,0,0.07
0,0.08,2500,1,1,0,0,0,0,0.24
0,0.2,3000,0,0,0,0,0,1,0.98
0,0.25,5000,1,0,0,0,0,0,0.92
0,0.24,4000,0,0,0,0,0,0,0.7
0,0.2,12000,0,0,0,0,1,0,0.34
0,0.1,15000,0,1,0,0,0,0,0.21
0,0.28,25000,0,0,0,0,1,0,0.73
0,0.2,3300,0,0,0,0,0,1,0.55
0,0.2,18000,0,0,0,1,0,0,0.71
1,0.29,2550,1,0,0,0,0,0,0
0,0.1,3000,0,1,0,0,0,0,0.14
0,0.15,9999,0,0,0,1,0,0,0.31
0,0.15,5000,0,0,0,1,0,0,0.35
0,0.18,15000,0,0,0,0,1,0,0.29
0,0.18,10000,0,0,0,0,1,0,0.87
0,0.21,10000,0,0,0,0,0,1,1.01
0,0.2,5000,0,0,0,0,0,1,0.85
0,0.18,10000,0,0,0,0,1,0,0.97
0,0.09,5000,0,1,0,0,0,0,0.01
0,0.2,1500,0,0,0,0,0,0,0.6
0,0.21,9975,0,0,0,0,1,0,0.62
0,0.08,3000,0,1,0,0,0,0,0.46
0,0.15,6088,0,0,0,1,0,0,0.69
0,0.29,5500,0,0,0,0,0,0,0.99
0,0.11,1600,0,0,0,1,0,0,0.69
1,0.28,7500,1,0,0,0,1,0,0
0,0.15,12000,0,0,0,0,1,0,0.52
0,0.24,2000,0,0,0,0,0,0,0
0,0.26,2200,0,0,0,0,0,0,0.98
0,0.08,2600,0,0,1,0,0,0,0
0,0.08,3500,0,1,0,0,0,0,0.46
0,0.29,4500,0,0,0,0,0,0,0.94
0,0.11,5000,0,0,1,0,0,0,0.18
0,0.21,5000,0,0,0,0,1,0,0
0,0.2,5000,0,0,0,0,1,0,0.96
0,0.08,2000,0,1,0,0,0,0,0.05
0,0.21,2550,0,0,0,0,0,0,0.24
0,0.15,20000,1,0,0,1,0,0,0.72
0,0.09,3000,0,1,0,0,0,0,0
0,0.16,5000,0,0,0,1,0,0,0.94
0,0.25,5000,1,0,0,0,0,0,0.96
0,0.23,10000,1,0,0,0,1,0,0.64
0,0.18,2750,1,0,0,0,0,1,0
0,0.28,10500,0,0,0,0,1,0,0.94
1,0.24,3200,1,0,0,0,0,0,0.73
0,0.15,9500,0,0,0,0,1,0,0.37
0,0.15,25000,0,0,0,1,0,0,0
0,0.15,4000,0,0,0,0,1,0,0
0,0.24,3000,0,0,0,0,0,0,0
0,0.18,7500,0,0,0,0,1,0,0.58
0,0.17,9500,0,0,0,0,1,0,0.37
0,0.09,3500,0,1,0,0,0,0,0.1
1,0.29,3500,0,0,0,0,0,0,0
1,0.29,2500,1,0,0,0,0,0,0.82
0,0.16,24000,1,0,1,0,0,0,0.35
0,0.18,2500,0,0,0,0,1,0,0
0,0.13,15000,1,1,0,0,0,0,0.07
0,0.11,2593,0,0,0,0,0,0,1.01
0,0.18,1500,0,0,0,0,1,0,0.1
0,0.24,10000,1,0,1,0,0,0,0.03
0,0.08,1000,0,1,0,0,0,0,0
0,0.17,1675,0,0,0,0,0,0,0.95
0,0.17,10000,0,0,0,1,0,0,0.72
0,0.15,9999,0,0,1,0,0,0,0.31
0,0.2,9000,1,0,0,0,0,1,0.93
0,0.2,2000,1,0,0,0,0,0,0.87
0,0.2,1000,0,0,0,0,0,0,0
0,0.17,10000,0,0,0,1,0,0,0.28
1,0.19,23000,0,0,1,0,0,0,0.27
0,0.14,1500,1,1,0,0,0,0,0.25
0,0.18,9800,1,0,0,0,1,0,0.72
1,0.29,6000,0,0,0,0,0,0,0.59
0,0.29,3000,0,0,0,0,0,0,0.61
0,0.13,5000,0,0,1,0,0,0,0.69
0,0.15,8000,0,0,0,1,0,0,0.54
0,0.29,3000,0,0,0,0,0,0,0.91
0,0.24,5250,0,0,0,0,0,0,0.57
0,0.29,1500,0,0,0,0,0,0,0
1,0.26,1200,1,0,0,0,0,0,0
0,0.29,12000,0,0,0,0,1,0,0.92
0,0.14,3500,0,0,0,0,1,0,0.94
0,0.17,1775,0,0,0,0,0,1,0.9
0,0.1,9000,0,1,0,0,0,0,0.22
0,0.29,6000,0,0,0,0,0,0,0.94
1,0.29,5001,1,0,0,0,0,1,0.3
0,0.09,1000,0,1,0,0,0,0,0.02
0,0.2,10000,0,0,0,0,0,1,0.85
0,0.18,2500,0,0,1,0,0,0,0.84
0,0.21,3000,0,0,0,0,1,0,0.04
0,0.12,13000,0,1,0,0,0,0,0.36
0,0.29,6000,1,0,0,0,0,0,0
0,0.29,2000,1,0,0,0,0,0,0
0,0.29,1500,0,0,0,0,0,0,0.84
0,0.25,9000,0,0,0,0,0,1,0.43
0,0.21,7500,1,0,0,0,1,0,1.02
0,0.29,4500,0,0,0,0,0,0,0.98
0,0.14,3500,0,0,0,1,0,0,0.65
0,0.21,6001,1,0,0,0,0,1,0
0,0.17,6500,0,0,0,0,1,0,0.81
0,0.19,10000,1,0,0,0,1,0,0.81
0,0.18,3100,0,0,0,0,0,1,0.86
0,0.25,9000,0,0,0,0,0,0,0.99
0,0.15,5100,0,0,0,0,1,0,0.19
0,0.25,2500,0,0,0,0,0,1,0.66
1,0.2,2000,0,0,0,0,0,0,1.44
1,0.2,6500,1,0,0,0,1,0,0.9
0,0.25,6000,1,0,0,0,0,0,1
1,0.29,5108,0,0,0,0,0,0,0
0,0.07,1850,1,1,0,0,0,0,0.31
0,0.17,10000,0,0,0,0,1,0,0.85
0,0.22,4000,1,0,0,0,0,1,1
0,0.1,3000,1,0,1,0,0,0,0.32
1,0.17,10000,0,0,0,0,1,0,0.84
0,0.14,1000,0,0,1,0,0,0,0.6
1,0.29,2500,0,0,0,0,0,0,0
0,0.17,4000,1,0,0,0,0,1,0.31
0,0.2,2000,0,0,0,0,0,1,0.01
0,0.16,7000,0,0,0,0,1,0,0.29
0,0.2,9000,0,0,0,0,0,1,0.94
0,0.25,2750,1,0,0,0,0,0,0
0,0.21,15000,0,0,0,0,1,0,0.82
0,0.11,2400,0,0,0,1,0,0,0.25
0,0.15,4000,0,0,0,1,0,0,0.46
0,0.23,5000,0,0,0,0,0,0,0.97
0,0.14,24000,0,0,1,0,0,0,0.54
0,0.17,13000,1,0,0,1,0,0,0.88
0,0.23,4000,1,0,0,0,0,0,1.35
0,0.29,3300,0,0,0,0,0,0,0.91
0,0.15,3000,0,0,0,0,1,0,0
0,0.13,20000,0,1,0,0,0,0,0.13
0,0.15,2000,0,0,0,0,1,0,0
0,0.29,5000,0,0,0,0,0,0,0.83
0,0.25,2550,0,0,0,0,0,1,0.86
0,0.19,6001,1,0,0,0,0,1,0.24
0,0.26,2550,0,0,0,0,0,0,0.88
0,0.18,1000,1,0,0,0,1,0,0
0,0.16,5000,0,0,0,0,1,0,0.94
0,0.2,8000,1,0,0,0,0,1,0.52
0,0.17,1500,0,0,0,0,0,1,0.61
1,0.15,3000,0,0,0,0,0,1,0.73
0,0.19,21200,1,0,0,1,0,0,0.47
0,0.18,5600,0,0,0,1,0,0,0.48
0,0.23,1525,0,0,0,0,0,1,0.56
0,0.2,1500,0,0,0,0,0,0,0.88
0,0.23,25000,0,0,0,1,0,0,0
0,0.08,5000,0,1,0,0,0,0,0.13
0,0.2,2000,1,0,0,0,1,0,0.98
0,0.14,7750,0,0,0,0,1,0,0.59
0,0.12,2500,0,0,0,0,1,0,0
0,0.29,2000,0,0,0,0,0,0,0
0,0.2,7500,1,0,0,0,1,0,0.62
0,0.24,15000,1,0,0,0,0,1,0.81
0,0.2,9000,0,0,0,0,0,1,0.88
0,0.07,1000,0,1,0,0,0,0,0.34
0,0.2,9999,0,0,0,0,0,1,0.9
0,0.29,2550,0,0,0,0,0,0,1
0,0.26,4000,0,0,0,0,0,0,0.99
0,0.08,1668,0,1,0,0,0,0,0.05
0,0.16,25000,0,1,0,0,0,0,0
0,0.19,3001,0,0,0,0,0,1,0.48
1,0.17,9000,0,0,0,0,1,0,0.99
0,0.29,17000,1,0,0,0,0,1,0
0,0.27,3200,1,0,0,0,0,0,0
0,0.19,12500,0,0,0,0,1,0,0.88
1,0.29,1000,1,0,0,0,0,0,0.42
0,0.25,6000,0,0,0,0,0,1,1.02
0,0.15,2300,0,0,0,0,1,0,0.46
0,0.29,2800,0,0,0,0,1,0,0.99
0,0.2,2400,1,0,0,0,0,1,0
0,0.29,2500,0,0,0,0,0,0,0.89
0,0.15,8575,0,0,0,1,0,0,0.9
0,0.27,7500,0,0,0,0,0,0,0.91
0,0.29,2000,0,0,0,0,0,0,1.23
0,0.09,5000,0,1,0,0,0,0,0.17
1,0.25,15000,0,0,0,0,0,1,0.11
0,0.15,5000,0,0,0,0,1,0,0.67
0,0.29,1800,0,0,0,0,0,0,0.85
0,0.2,4600,0,0,0,0,0,0,0.91
0,0.29,15000,0,1,0,0,0,0,0
